.3g2, mplayerc64.3G2
.3g2p, mplayerc64.3G2
.3gp, mplayerc64.3GP
.3gp2, mplayerc64.3G2
.3gpp, mplayerc64.3GP
.aac, mplayerc64.ADTS
.adt, mplayerc64.ADTS
.adts, mplayerc64.ADTS
.avi, mplayerc64.avi
.flv, mplayerc64.FLV
.hdmov, mplayerc64.HDMOV
.hevc, mplayerc64.HEVC
.it, mplayerc64.IT
.ivf, mplayerc64.IVF
.m2t, mplayerc64.M2TS
.m2ts, mplayerc64.M2TS
.m3u, mplayerc64.m3u
.m4a, mplayerc64.M4A
.m4v, mplayerc64.MP4
.mka, mplayerc64.MKV
.mkv, mplayerc64.MKV
.mo3, mplayerc64.MO3
.mod, mplayerc64.MPEG
.mov, mplayerc64.MOV
.MP2, mplayerc64.MP3
.mp4, mplayerc64.mp4
.mp4v, mplayerc64.mp4v
.mpeg, mplayerc64.MPEG
.mpg, mplayerc64.MPEG
.mpv2, mplayerc64.MPEG
.mtm, mplayerc64.MTM
.mts, mplayerc64.M2TS
.nuv, mplayerc64.NUV
.s3m, mplayerc64.S3M
.wmv, mplayerc64.wmv
